Language,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Cherokee/Tsalagi,cherokee-tsalagi,6165b59ceb6eb90b8c286f13,6165b59ceb6eb91425286f9f,Wed Sep 15 2021 02:47:52 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 02:47:52 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Cree,cree,6165b59ceb6eb90b8c286f13,6165b59ceb6eb96f7b286f63,Tue Aug 10 2021 21:04:28 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 21:04:28 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
English,english,6165b59ceb6eb90b8c286f13,6165b59ceb6eb97b2a286f61,Tue Aug 10 2021 21:04:16 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 20:08:08 GMT+0000 (Coordinated Universal Time),
Hawaiian,hawaiian,6165b59ceb6eb90b8c286f13,6165b59ceb6eb9550e286fa4,Wed Sep 15 2021 03:12:44 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 03:12:44 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Hawaiian,hawaiin,6165b59ceb6eb90b8c286f13,6165b59ceb6eb94b5d286f65,Tue Aug 10 2021 21:05:00 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 14:43:05 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Hindi,hindi,6165b59ceb6eb90b8c286f13,6165b59ceb6eb9f5d9286fa1,Wed Sep 15 2021 02:58:32 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 02:58:32 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Korean,korean,6165b59ceb6eb90b8c286f13,6165b59ceb6eb93381286f64,Tue Aug 10 2021 21:04:40 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 21:04:40 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Nahuatl,nahuatl,6165b59ceb6eb90b8c286f13,6165b59ceb6eb90b07286fa6,Fri Sep 24 2021 16:23:35 GMT+0000 (Coordinated Universal Time),Fri Sep 24 2021 16:23:35 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Spanish,spanish,6165b59ceb6eb90b8c286f13,6165b59ceb6eb93b4c286f62,Tue Aug 10 2021 21:04:23 GMT+0000 (Coordinated Universal Time),Tue Aug 10 2021 21:04:23 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Thai,thai,6165b59ceb6eb90b8c286f13,6165b59ceb6eb9d082286fa9,Sat Sep 25 2021 18:25:18 GMT+0000 (Coordinated Universal Time),Sat Sep 25 2021 18:25:18 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
